"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 27 17:16:02 GMT 2024","Fri Dec 27 17:16:02 GMT 2024","2","","de.lenneflow.lenneflowterraformserver.repository.ClusterRepositoryTest","","de.lenneflow.lenneflowterraformserver.repository.ClusterRepositoryTest","","findByUidReturnsNullWhenClusterDoesNotExist()",""
"passed","Fri Dec 27 17:16:01 GMT 2024","Fri Dec 27 17:16:01 GMT 2024","5","","de.lenneflow.lenneflowterraformserver.controller.ServerControllerTest","","de.lenneflow.lenneflowterraformserver.controller.ServerControllerTest","","createOrUpdateClusterValidatesClusterDTO()",""
"passed","Fri Dec 27 17:16:02 GMT 2024","Fri Dec 27 17:16:02 GMT 2024","2","","de.lenneflow.lenneflowterraformserver.repository.ClusterRepositoryTest","","de.lenneflow.lenneflowterraformserver.repository.ClusterRepositoryTest","","findByUidReturnsClusterWhenExists()",""
"passed","Fri Dec 27 17:16:02 GMT 2024","Fri Dec 27 17:16:02 GMT 2024","6","","de.lenneflow.lenneflowterraformserver.util.UtilTest","","de.lenneflow.lenneflowterraformserver.util.UtilTest","","createTfvarsFileCreatesFileWithVariables()",""
"failed","Fri Dec 27 17:16:02 GMT 2024","Fri Dec 27 17:16:02 GMT 2024","3","","de.lenneflow.lenneflowterraformserver.util.ValidatorTest","","de.lenneflow.lenneflowterraformserver.util.ValidatorTest","","validateNodeGroupThrowsExceptionWhenMaximumNodeCountIsNegative()",""
"failed","Fri Dec 27 17:16:02 GMT 2024","Fri Dec 27 17:16:02 GMT 2024","2","","de.lenneflow.lenneflowterraformserver.util.ValidatorTest","","de.lenneflow.lenneflowterraformserver.util.ValidatorTest","","validateClusterThrowsExceptionWhenClusterNameIsEmpty()",""
"passed","Fri Dec 27 17:16:02 GMT 2024","Fri Dec 27 17:16:02 GMT 2024","4","","de.lenneflow.lenneflowterraformserver.util.UtilTest","","de.lenneflow.lenneflowterraformserver.util.UtilTest","","runCmdCommandReturnsExitCode()",""
"passed","Fri Dec 27 17:16:01 GMT 2024","Fri Dec 27 17:16:01 GMT 2024","42","","de.lenneflow.lenneflowterraformserver.controller.ServerControllerTest","","de.lenneflow.lenneflowterraformserver.controller.ServerControllerTest","","updateNodeGroupStartsNewThread()",""
"passed","Fri Dec 27 17:16:01 GMT 2024","Fri Dec 27 17:16:01 GMT 2024","3","","de.lenneflow.lenneflowterraformserver.repository.AccessTokenRepositoryTest","","de.lenneflow.lenneflowterraformserver.repository.AccessTokenRepositoryTest","","findByUidReturnsNullWhenTokenDoesNotExist()",""
"passed","Fri Dec 27 17:16:02 GMT 2024","Fri Dec 27 17:16:02 GMT 2024","1","","de.lenneflow.lenneflowterraformserver.repository.CredentialRepositoryTest","","de.lenneflow.lenneflowterraformserver.repository.CredentialRepositoryTest","","findByUidReturnsCredentialWhenExists()",""
