"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 02 01:09:53 GMT 2025","Thu Jan 02 01:09:53 GMT 2025","1","","de.lenneflow.lenneflowterraformserver.util.ValidatorTest","","de.lenneflow.lenneflowterraformserver.util.ValidatorTest","","validateClusterThrowsExceptionWhenRegionIsEmpty()",""
"passed","Thu Jan 02 01:09:53 GMT 2025","Thu Jan 02 01:09:53 GMT 2025","23","","de.lenneflow.lenneflowterraformserver.util.UtilTest","","de.lenneflow.lenneflowterraformserver.util.UtilTest","","runCmdCommandAndGetOutputReturnsOutput()",""
"passed","Thu Jan 02 01:09:53 GMT 2025","Thu Jan 02 01:09:53 GMT 2025","7","","de.lenneflow.lenneflowterraformserver.repository.AccessTokenRepositoryTest","","de.lenneflow.lenneflowterraformserver.repository.AccessTokenRepositoryTest","","findByUidReturnsAccessTokenWhenExists()",""
"passed","Thu Jan 02 01:09:53 GMT 2025","Thu Jan 02 01:09:53 GMT 2025","2","","de.lenneflow.lenneflowterraformserver.util.UtilTest","","de.lenneflow.lenneflowterraformserver.util.UtilTest","","setCredentialsEnvironmentVariablesThrowsExceptionForUnsupportedProvider()",""
"failed","Thu Jan 02 01:09:53 GMT 2025","Thu Jan 02 01:09:53 GMT 2025","5","","de.lenneflow.lenneflowterraformserver.controller.ServerControllerTest","","de.lenneflow.lenneflowterraformserver.controller.ServerControllerTest","","createOrUpdateClusterThrowsExceptionWhenClusterAlreadyExists()",""
"passed","Thu Jan 02 01:09:53 GMT 2025","Thu Jan 02 01:09:53 GMT 2025","7","","de.lenneflow.lenneflowterraformserver.util.ValidatorTest","","de.lenneflow.lenneflowterraformserver.util.ValidatorTest","","validateNodeGroupThrowsExceptionWhenClusterNameIsNull()",""
"passed","Thu Jan 02 01:09:53 GMT 2025","Thu Jan 02 01:09:53 GMT 2025","2","","de.lenneflow.lenneflowterraformserver.repository.ClusterRepositoryTest","","de.lenneflow.lenneflowterraformserver.repository.ClusterRepositoryTest","","findByCloudProviderAndClusterNameAndRegionReturnsNullWhenClusterDoesNotExist()",""
"passed","Thu Jan 02 01:09:53 GMT 2025","Thu Jan 02 01:09:53 GMT 2025","3","","de.lenneflow.lenneflowterraformserver.repository.CredentialRepositoryTest","","de.lenneflow.lenneflowterraformserver.repository.CredentialRepositoryTest","","findByUidReturnsCredentialWhenExists()",""
"passed","Thu Jan 02 01:09:53 GMT 2025","Thu Jan 02 01:09:53 GMT 2025","2","","de.lenneflow.lenneflowterraformserver.repository.CredentialRepositoryTest","","de.lenneflow.lenneflowterraformserver.repository.CredentialRepositoryTest","","findByUidReturnsNullWhenCredentialDoesNotExist()",""
"failed","Thu Jan 02 01:09:53 GMT 2025","Thu Jan 02 01:09:53 GMT 2025","6","","de.lenneflow.lenneflowterraformserver.controller.ServerControllerTest","","de.lenneflow.lenneflowterraformserver.controller.ServerControllerTest","","pingReturnsWorkingMessageWhenTerraformIsInstalled()",""
